my_signal,sim_item,type_dict_dynamic_fields,filename,identifier
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",c03b5a56074844beb78f17001c145caf.tsv,543d4239e2f943e4ac07aa5bdb13d2f3
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",e253308919594ac0a28624f0f328e98c.tsv,b84245c5f8a64ce2a07d8a545e6958bf
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",afbee72bc9a540f1b6beff53d1272f2f.tsv,1b87e4fb51df445ab4220815e57e15cf
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",e384a8ff85e94e13a628673ccf86e60a.tsv,ea2eeb440c4e414789f706f0b95b53ee
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",b6572fe82297428d8d3c28f6b961a140.tsv,ad59a524544245d2bb755b162fb58483
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",61a52cdc9094401ba2a99250df6c956a.tsv,aee2f4ba1c8d44f89b5386ee655cfafc
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f7b2a1c0e7dc47a5bfa07508a558763f.tsv,a3a7d0daaf964ff991a6f1ed6e863291
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",04d6f63f6dc247efbcd44f870b39c0c8.tsv,42a2a8e32b5344c484730c4c15153a3d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",e85824a6fa054775899fa10398e8abe1.tsv,cfc93c46f5f24ed2a1150fd51d7ce429
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1a363ff653ed49079b244ddf51d442cb.tsv,05b092b1ca6e4fb38395acfcca27aae8
