my_signal,sim_item,type_dict_dynamic_fields,filename,identifier
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f29e131b668044469981163fbd0f97ae.tsv,11eb5225b0c3493aa1b9229c07d9fadc
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",d3b4ff59ec7044f19f2b69854995f9e3.tsv,798e5787a7d3484eb7597071adfc1cc6
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",5eedf6d352134e81b8c8a685caed305f.tsv,5b8125db6e274295986feafa2271b8ba
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",866729ecf1464137874d18e34fbf9342.tsv,912658c6414d439faf8384f03ce8bcca
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f7b2a1c0e7dc47a5bfa07508a558763f.tsv,a3a7d0daaf964ff991a6f1ed6e863291
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",9db997a6d38f49d99f247ce66972848f.tsv,f2040ce618b0433fa3d624cdcc3ea74d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",9bd066040542401e9b67f8dc47356d7f.tsv,f639cd6d6a90424ab10ae739c69ef58b
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",e3d0a249f37a4e229fd4f817c3d14eca.tsv,bd9276a5ab7e445fb07c3491fa2d653b
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",2899f72b6a8441c5bea8d2f9aa7faea9.tsv,ed1664f3396349c2b7a3402e21212186
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",742cdac10101441088fc4887a5b224a7.tsv,98d8a11eecba4d8c883a35f70a435221
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",46ca6f8ef81d49afb32ec399dde5466a.tsv,02e577ed8baa4f3a8cfcfdfca2e1d54a
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",952feae0a6f140c1bbfbb865400e1f07.tsv,29e7a9b76e994edfb83f2a69f5c5804b
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1a363ff653ed49079b244ddf51d442cb.tsv,05b092b1ca6e4fb38395acfcca27aae8
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1cabe73425c6440fa7d16e1b1bc3840d.tsv,ae50b3cce8c243cc889177c653137a73
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",745f4ed34f1145e9985724ca7dbeb6aa.tsv,d76bdc2f597a46b8b715003680ba0bc7
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",02abdd77f31a4b26a29f164d7560614d.tsv,946c6ab5738b49aaa7a712a7d0963e4b
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",ae765671190145539ee6257d87649a85.tsv,bfa8da6a73a747a29ae455a38d9dfecf
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",ce7e01a7004a4a55ab15ff697265084c.tsv,0c5ffaa6c3c048a58789aa15870656a9
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",9b1f63a7e6de42e89bc2c7b6974144c2.tsv,0bf1bea0ca114511842839c97cf56987
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",263b1c7aae20440f9085233433c7b3e4.tsv,fb9a8e863f1f47e0ae0b6d2ac2301b44
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",0c1b6f5ee6c1427a863f87f5bdc92345.tsv,ae54f82f5af64542b87023c623519f9d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1ed499a89b564b669c56639fdbb18301.tsv,34acb55442b647db8d9c79c61859554d
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",26dc710c4ab54b2098a8b13609e4c744.tsv,22fc8eec27a949c19b3efab09279e680
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",9cd36598fd534111ba6696812744fd09.tsv,315b402709af4e15a40ae64157f6dda9
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",04d6f63f6dc247efbcd44f870b39c0c8.tsv,42a2a8e32b5344c484730c4c15153a3d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",e384a8ff85e94e13a628673ccf86e60a.tsv,ea2eeb440c4e414789f706f0b95b53ee
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",7920633cde93465baae29e64ecf2e163.tsv,77a57228b470441bbeb77ffca17a9093
