my_signal,sim_item,type_dict_dynamic_fields,filename,identifier
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",952feae0a6f140c1bbfbb865400e1f07.tsv,29e7a9b76e994edfb83f2a69f5c5804b
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1ed499a89b564b669c56639fdbb18301.tsv,34acb55442b647db8d9c79c61859554d
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",b61680007e694ec8aa8304a34bfaa0eb.tsv,5b2b66d890a2461a84b54a9c41756ec6
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",26dc710c4ab54b2098a8b13609e4c744.tsv,22fc8eec27a949c19b3efab09279e680
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",e3d0a249f37a4e229fd4f817c3d14eca.tsv,bd9276a5ab7e445fb07c3491fa2d653b
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",46ca6f8ef81d49afb32ec399dde5466a.tsv,02e577ed8baa4f3a8cfcfdfca2e1d54a
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",ca9b94433c4845f0890a53ad4a4cdf52.tsv,1dde4dde7e784b85af4910f0e829662d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f39e621598034804980cfd6033ad2319.tsv,cdfd39101fa742cbb45db17f38e1647c
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",527351532d90434b9aee6a1b106250b9.tsv,3c01ebf1cf444cc184fba9b6d0cfcee0
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",b518122550894b7fa4b7750ff667e52c.tsv,cd606ab6b8454527aea94f7438e55b15
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",70283d1f8b3b4ac999903f2019ff8839.tsv,50b57accf9d1455d818e4aa61377be56
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",8090868710be4415b8cd0d123a735afa.tsv,6b054294f4ba4387a9c302c3e08c24ff
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",419c9cbef47640af8909a5c18c7a55ef.tsv,35f598db2ec4492282ad4db54585128c
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1f09736e7a0e44ee8ff9166152182b40.tsv,6f3ded41a4414672a8a65fc9e89209f2
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",0290dca5d6694541bc660af57dfeb02f.tsv,f73c2bbeb45d4385bb600773c3560594
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",7920633cde93465baae29e64ecf2e163.tsv,77a57228b470441bbeb77ffca17a9093
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f29e131b668044469981163fbd0f97ae.tsv,11eb5225b0c3493aa1b9229c07d9fadc
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",17e62400956341eb9f6b5599e9079dec.tsv,4febe8e1d0b24213b4b06add8fd71c2d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",9790b67208684326ba0ee84f6be6936a.tsv,cf8509ddb2014e43acbf0b156e5d9c4d
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",3e27390b72504909a48fe3a169a00cea.tsv,a7a80a23ceb94202aa8fc693d3bda760
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",c03b5a56074844beb78f17001c145caf.tsv,543d4239e2f943e4ac07aa5bdb13d2f3
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",2e6965554df2419599133fe4d9482cea.tsv,c50c2a55ad9f4d32844e241dd39bd9a1
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",ae765671190145539ee6257d87649a85.tsv,bfa8da6a73a747a29ae455a38d9dfecf
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",2fbf877b913c40fdb6206030167744a0.tsv,e2a9428ddb8a405987fc87f16c0a5fed
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",80ad2a068dc448f38ff6527913338215.tsv,8ab207ba43284524ba1f228158e02d9e
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",0c1b6f5ee6c1427a863f87f5bdc92345.tsv,ae54f82f5af64542b87023c623519f9d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",ec801e2f463d43368401d105ccede6e7.tsv,a0a402e2b1d64f8c82d965419a7dcc89
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f8aa4987a4064c5baa4d884277d6a17e.tsv,738ca1b9ff5f47a8a46f4ce75226bb65
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",d3b4ff59ec7044f19f2b69854995f9e3.tsv,798e5787a7d3484eb7597071adfc1cc6
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",9db997a6d38f49d99f247ce66972848f.tsv,f2040ce618b0433fa3d624cdcc3ea74d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",43406d3f8b89476fb162eb3f8fbd99aa.tsv,3c2303b7bc7f452d99740d67e5ae4b9f
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",2899f72b6a8441c5bea8d2f9aa7faea9.tsv,ed1664f3396349c2b7a3402e21212186
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",742cdac10101441088fc4887a5b224a7.tsv,98d8a11eecba4d8c883a35f70a435221
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f7b2a1c0e7dc47a5bfa07508a558763f.tsv,a3a7d0daaf964ff991a6f1ed6e863291
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",041dee28b06d4aa099e56c1d0c199791.tsv,fb3968bfc12a43e7bcb92db37f671468
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",5eedf6d352134e81b8c8a685caed305f.tsv,5b8125db6e274295986feafa2271b8ba
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",4a624d5f5ef848e2af022ad8a5352a64.tsv,77095dbc976b41ba8ca040d37a4eee14
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",b6572fe82297428d8d3c28f6b961a140.tsv,ad59a524544245d2bb755b162fb58483
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",2508bcfd588447209a2c7c26b1b925c5.tsv,a4156a89343e42a69a9c4078f101d03f
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1a363ff653ed49079b244ddf51d442cb.tsv,05b092b1ca6e4fb38395acfcca27aae8
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",04d6f63f6dc247efbcd44f870b39c0c8.tsv,42a2a8e32b5344c484730c4c15153a3d
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f4bf12c0d3cb4bd796786565f53e640f.tsv,8bfb2779105246338c23e273458eae05
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",516c690bcddb4be294e05dd0bb0bf92f.tsv,bee9f03791ce4ea89ebb230349883593
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",f51d44cebd2247559bf692f7e5ad71a4.tsv,72251fb257e8433d94ee27ebeb4529a2
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",8b1526a11193455194e195986e81d946.tsv,93bd2cfb1b1b4e29a1a8f19372726910
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",5f5d544d5e9d4a0594a9b101a9b7bae9.tsv,1e889a4d2e2d4892a9da8f4abba1395e
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",1cabe73425c6440fa7d16e1b1bc3840d.tsv,ae50b3cce8c243cc889177c653137a73
True,pos_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",a01f0fb0e4f943528cb81378984b7143.tsv,f561b9d0803e46d09b60a39359f41700
False,neg_reps,"{'p_gen': 'float', 'from_default_model': 'int', 'my_signal': 'int', 'my_signal_positions': 'str', 'signals_aggregated': 'str', 'original_sequence': 'str', 'original_p_gen': 'float'}",7787b1599ef54eef9dd95004d59e9750.tsv,6176c94b26da4e568cc03d5654c7686c
